admin0name,admin1name,admin2name,crop_area,flood_area,pop_sum,year
Ghana,Eastern,Denkyembour,2.0451211059570307,5.840361258760339,0.0,2008
Ghana,Eastern,Kwahu Afram Plains North,539.4142049560569,7303.920892497161,90.0,2008
Ghana,Eastern,Kwaebibirem,0.0,0.17781015014648435,0.0,2008
Ghana,Eastern,Yilo Krobo,1.4225173522949217,3.5029453856943182,0.0,2008
Ghana,Eastern,Asuogyaman,12.881552691650391,546.2850856255517,88.0078431372549,2008
Ghana,Eastern,Upper West Akim,0.0,0.08895989379882813,0.0,2008
Ghana,Eastern,Birim Municipal,0.08893215942382812,3.1120907350308293,0.0,2008
Ghana,Eastern,Akwapem North,0.0,0.0,0.0,2008
Ghana,Eastern,Akyem Mansa,0.0,0.11438522901348039,0.0,2008
Ghana,Eastern,Kwahu South,78.84849650227864,1005.8828206174444,18.0,2008
Ghana,Eastern,New Juaben Municipal,0.602494995428347,0.602494995428347,0.0,2008
Ghana,Eastern,Fanteakwa,114.91691872422128,684.7037519460353,20.0,2008
Ghana,Eastern,West Akim,0.08894400634765624,10.965993383741186,0.0,2008
Ghana,Eastern,Upper Manya,48.33265191650388,1226.4153093481495,19.0,2008
Ghana,Eastern,Birim North,0.0,0.17769259033203125,0.0,2008
Ghana,Eastern,Ayensuano,0.0,0.3556811950683594,0.0,2008
Ghana,Eastern,East Akim,0.0,0.6221887939453123,0.0,2008
Ghana,Eastern,Suhum Municipal,0.5522874785060508,1.352567941152535,0.0,2008
Ghana,Eastern,Birim South,0.29888235669902724,1.0741568959673713,0.0,2008
Ghana,Eastern,Atiwa,3.6436650634765617,9.864315319824215,0.0,2008
Ghana,Eastern,Kwahu West,0.0,4.707918621826172,0.0,2008
Ghana,Western,Sekondi Takoradi,0.0,0.020259067430683213,0.0,2008
Ghana,Western,Mpohor,0.0,0.0,0.0,2008
Ghana,Western,Jomoro,5.359604487137141,265.1032862423167,35.0,2008
Ghana,Western,Shama,1.6029315490722653,122.85401689029477,0.0,2008
Ghana,Western,Ahanta West,0.0,0.0,0.0,2008
Ghana,Western,Wassa East,15.580384521484376,333.09197874605013,18.0,2008
Ghana,Western,Nzema East,0.0,3.6505051513671876,0.0,2008
Ghana,Western,Wassa Amenfi Central,0.3557306213378906,65.30611089403355,0.0,2008
Ghana,Western,Wassa Amenfi East,0.26680509033203126,1.8422281829714309,0.0,2008
Ghana,Western,Prestea / Huni Valley,4.271557232666016,32.05708951595524,0.0,2008
Ghana,Western,Wassa Amenfi West,12.899030383300783,121.84365229482653,12.0,2008
Ghana,Western,Ellembelle,0.7124805969238281,86.13524738058649,240.0,2008
Ghana,Western,Tarkwa Nsuaem,1.0682084838867187,8.278631689453123,0.0,2008
Ghana,Northern,Nanumba North,601.7763785084904,2807.714421901646,0.0,2008
Ghana,Northern,Karaga,310.2409933396523,428.1335945147347,0.0,2008
Ghana,Northern,Kpandai,431.9860879306934,5144.635033700985,96.0,2008
Ghana,Northern,Savelugu Nanton,1565.5211925746257,1831.9896726757008,0.0,2008
Ghana,Northern,Sagnerigu,1.7644193420410152,2.470115759277343,0.0,2008
Ghana,Northern,Zabzugu,11.200971418552776,68.41811154469215,0.0,2008
Ghana,Northern,Tatale,1.853742692368451,20.275802397508794,0.0,2008
Ghana,Northern,Tamale North Sub Metro,8.74315549507889,19.738026223527495,6.0,2008
Ghana,Northern,Gushiegu,0.7926849304199217,3.4369745178222653,0.0,2008
Ghana,Northern,Kumbumgu,248.37509542159628,778.2035453748794,0.0,2008
Ghana,Northern,Tolon,170.49571003544813,475.2226811650255,0.0,2008
Ghana,Northern,Saboba,843.4808109213907,1057.2441525859776,0.0,2008
Ghana,Northern,Yendi Municipal,118.58554051738665,222.8346986151961,0.0,2008
Ghana,Northern,Nanumba South,145.19022715083105,1671.906534932862,0.0,2008
Ghana,Northern,Mion,170.5815033468332,332.9942371629409,0.0,2008
Ghana,Savannah,Gonja Central,204.6295328599396,10101.6231444705,1586.6666666666667,2008
Ghana,Savannah,East Gonja,1507.582290391674,11004.80594332111,1107.0,2008
Ghana,Savannah,West Gonja,31.934563475916224,368.3560292052987,0.0,2008
Ghana,Savannah,North Gonja,37.748159245844846,528.3468401159961,22.0,2008
Ghana,Savannah,Sawla / Tuna / Kalba,2.517286159691904,60.02773791436887,0.0,2008
Ghana,Savannah,Bole,114.75676386469816,464.0033533333096,0.0,2008
Ghana,Bono East,Sene East,257.65971717735164,8200.616810965268,366.0,2008
Ghana,Bono East,Nkoranza North,0.0,0.0,0.0,2008
Ghana,Bono East,Sene West,75.36662880909641,2938.0774527134427,40.0,2008
Ghana,Bono East,Atebubu Amantin,51.25657794739962,76.81180465889716,0.0,2008
Ghana,Bono East,Pru,572.2259800178583,4740.201377851034,17.0,2008
Ghana,Bono East,Techiman Municipal,0.0,0.0,0.0,2008
Ghana,Bono East,Techiman North,0.0,0.0,0.0,2008
Ghana,Bono East,Kintampo South,7.823348130361515,16.32221605873259,0.0,2008
Ghana,Bono East,Kintampo North,279.15087608022714,1532.864565516712,13.301960784313724,2008
Ghana,Bono East,Nkoranza South,0.0,0.0,0.0,2008
Ghana,North East,West Mamprusi,341.56973107280623,562.7040564154669,0.0,2008
Ghana,North East,Mamprusi East,3.724176899437997,46.824733683483686,0.0,2008
Ghana,North East,Chereponi,187.25768600681693,396.4558233620334,0.0,2008
Ghana,North East,Bunkpurugu Yonyo,16.182019189453143,31.225207427978475,0.0,2008
Ghana,North East,Mamprugu Moagduri,135.53178372989478,302.27564409411843,0.0,2008
Ghana,Upper East,Nabdam,0.0,0.38996222675398284,0.0,2008
