Region,Treatment,year,perc_pop
Asante Akim Central Municipal,0,2018,0.00010088145168408972
Asante Akim Central Municipal,0,2019,0.00025784112209845285
Asante Akim Central Municipal,0,2020,0.0
Asutifi North,0,2015,0.0
Asutifi North,0,2016,0.0
Asutifi North,0,2017,0.0
Asutifi North,0,2018,0.0
Asutifi North,0,2019,0.0
Asutifi North,0,2020,0.0
Gomoa East,0,2015,0.0
Gomoa East,0,2016,0.0
Gomoa East,0,2017,0.0
Gomoa East,0,2018,0.0
Gomoa East,0,2019,3.122219273459575e-05
Gomoa East,0,2020,0.0
Adenta,0,2015,0.0
Adenta,0,2016,5.171566726139684e-05
Adenta,0,2017,5.171566726139684e-05
Adenta,0,2018,5.171566726139684e-05
Adenta,0,2019,0.0
Adenta,0,2020,0.0
Daffiama Bussie,0,2015,0.0
Daffiama Bussie,0,2016,0.0
